BAD,CLAGE,CLNO,DEBTINC,DELINQ,DEROG,JOB,LOAN,MORTDUE,NINQ,REASON,VALUE,YOJ
1,94.36666667,9,,0,0,Other,,25860,1,HomeImp,39025,10.5
1,94.36666667,9,,0,0,Other,.,25860,1,HomeImp,39025,10.5
1,94.36666667,9,,0,0,Other,,25860,1,HomeImp,39025,10.5
1,94.36666667,9,,0,0,Other,1100,25860,1,HomeImp,39025,10.5
1,121.8333333,14,,2,0,Other,1300,70053,0,HomeImp,68400,7
1,149.4666667,10,,0,0,Other,1500,13500,1,HomeImp,16700,4
1,,,,,,,1500,,,,,
0,93.33333333,14,,0,0,Office,1700,97800,0,HomeImp,112000,3
1,101.4660019,8,37.11361356,0,0,Other,1700,30548,1,HomeImp,40320,9
1,77.1,17,,2,3,Other,1800,48649,1,HomeImp,57037,5
1,88.76602988,8,36.88489409,0,0,Other,1800,28502,0,HomeImp,43034,11
1,216.9333333,12,,2,0,Other,2000,32700,1,HomeImp,46740,3
1,115.8,13,,0,0,Sales,2000,,0,HomeImp,62250,16
1,,,,,,,2000,22608,,,,18
1,122.5333333,9,,1,0,Office,2000,20627,1,HomeImp,29800,11
1,86.06666667,25,,0,0,Other,2000,45000,2,HomeImp,55000,3
0,147.1333333,24,,0,0,Mgr,2000,64536,0,,87400,2.5
1,123,16,,1,0,Other,2100,71000,0,HomeImp,83850,8
1,300.8666667,8,,1,0,Other,2200,24280,0,HomeImp,34687,
1,122.9,22,,6,2,Mgr,2200,90957,1,HomeImp,102600,7
1,,,3.7113123,,,,2200,23030,,,,19
1,54.6,16,,0,0,Other,2300,28192,1,HomeImp,40150,4.5
0,90.99253347,13,31.58850318,0,0,Office,2300,102370,0,HomeImp,120953,2
1,122.2666667,14,,1,0,Other,2300,37626,1,HomeImp,46200,3
1,,0,,0,1,ProfExe,2400,50000,1,HomeImp,73395,5
1,67.2,22,,0,0,Mgr,2400,28000,2,HomeImp,40800,12
1,121.7333333,10,,2,,Mgr,2400,18000,0,HomeImp,,22
1,14.56666667,4,,0,0,Other,2400,,3,HomeImp,17180,
1,70.49108003,21,38.26360073,0,0,Mgr,2400,34863,1,HomeImp,47471,12
0,93.81177486,13,29.68182705,0,0,Office,2400,98449,0,HomeImp,117195,4
1,136.0666667,19,,0,0,,2500,15000,1,HomeImp,20200,18
1,276.9666667,9,,2,1,Other,2500,25116,0,HomeImp,36350,10
0,208,12,,0,0,Self,2500,7229,0,HomeImp,44516,
0,255.7333333,12,,0,0,ProfExe,2500,71408,0,HomeImp,78600,8
1,145.6333333,45,,15,2,Self,2800,50795,3,HomeImp,63100,26
1,112.6333333,9,,0,4,Other,2800,4000,2,HomeImp,60850,16
1,165.3333333,26,,0,1,ProfExe,2900,78600,2,DebtCon,113000,6
0,96.10232967,13,30.05113629,0,0,Office,2900,103949,0,HomeImp,112505,1
0,101.5402975,13,29.91585903,0,0,Office,2900,104373,0,HomeImp,120702,2
1,122.2046628,8,36.211348,0,3,Other,2900,7750,2,HomeImp,67996,16
1,282.8016592,37,49.20639579,0,0,Mgr,2900,61962,3,DebtCon,70915,2
0,85.8843719,14,32.05978327,0,0,Office,3000,104570,0,HomeImp,121729,2
1,50.8,9,,0,0,Other,3000,7000,5,HomeImp,20300,3
1,77.76666667,3,,1,0,Other,3000,,0,HomeImp,8800,2
1,23.3,2,,1,0,Other,3000,,1,HomeImp,33000,1
1,130.0333585,27,,0,0,Other,3000,119826,0,HomeImp,193500,8
1,187.0666667,12,,0,0,Other,3000,20000,0,DebtCon,29750,2
1,9.3,2,,0,0,Other,3000,,14,HomeImp,14500,3
1,104.2,19,,0,0,Other,3000,,0,HomeImp,14100,1
1,262.1666667,26,,1,0,ProfExe,3000,47000,5,HomeImp,82700,10
1,62.36666667,10,,2,0,Mgr,3000,34542,0,HomeImp,45900,8.5
0,211.9333333,25,,2,,Mgr,3000,58000,0,HomeImp,71500,10
0,201.8666667,20,,0,0,Office,3000,47000,0,HomeImp,56400,21
1,153.1666667,14,,0,0,Other,3100,39589,1,HomeImp,36100,1.5
0,,,,,,,3100,,,,70400,
0,206.4266021,25,40.11567728,1,,Mgr,3200,67848,0,HomeImp,74566,10
1,122.0333333,25,,4,0,ProfExe,3200,48603,1,HomeImp,61000,28
1,298.131564,7,35.55353879,0,0,Other,3200,27200,0,HomeImp,40834,
1,121.8666667,21,,0,0,Other,3200,54000,3,HomeImp,64850,1
0,250.6312692,12,42.90999735,0,0,ProfExe,3200,74864,0,HomeImp,87266,7
1,117.8057478,9,0.524499215,2,,Mgr,3200,23159,0,HomeImp,,20
1,139,36,,0,1,Sales,3300,126541,0,HomeImp,134527,9
1,192.289149,33,35.73055919,6,0,Other,3300,130518,0,DebtCon,164317,9
1,183.2999156,6,,1,0,Office,3400,37000,0,HomeImp,52000,2
1,162.3666667,14,,0,0,Other,3500,23200,0,HomeImp,38666,11
1,95.93333333,9,,0,0,Other,3500,19400,0,HomeImp,20494,5
1,,,,,,ProfExe,3600,61584,,HomeImp,61800,10
1,72.03333333,4,,0,0,Mgr,3600,41900,2,HomeImp,52490,3
0,192.7333333,28,,0,0,ProfExe,3600,83700,1,HomeImp,111800,6
0,202.5107752,25,41.5163897,2,,Mgr,3600,61327,0,HomeImp,76484,9
0,88.47045214,14,29.39354338,0,0,Office,3600,100693,0,HomeImp,114743,6
1,97.4,17,,4,1,Office,3600,48507,0,DebtCon,61000,13
0,204.2724988,20,20.47091551,0,0,Office,3600,52337,0,HomeImp,63989,20
1,129.7173231,9,26.63434752,0,0,Other,3700,17857,1,HomeImp,21144,5
1,252.6333333,25,,6,1,Mgr,3800,19135,1,HomeImp,97692,1.6
0,203.7515336,20,20.06704205,0,0,Office,3800,51180,0,HomeImp,63459,20
0,,,22.25394916,,,,3800,,,,73189,
0,204.6479917,11,42.17316588,0,0,Self,3800,11543,0,HomeImp,46045,
1,146.1232422,14,24.47888119,0,0,Other,3900,29896,0,HomeImp,45960,11
1,150.3,8,,1,0,Other,3900,14500,5,HomeImp,22092,3.5
0,171.6666667,31,,4,0,ProfExe,3900,52825,1,DebtCon,63000,8
0,85.27736558,13,29.34392109,0,0,Office,3900,102143,0,HomeImp,118742,2
1,86.56666667,14,,1,0,Mgr,3900,21200,2,DebtCon,39000,4
0,94.72487417,13,29.39092806,0,0,Office,4000,105164,0,HomeImp,112774,1
0,205.58668,19,21.80656346,0,0,Office,4000,54543,0,HomeImp,61777,21
1,126.5333333,12,,2,0,Other,4000,,3,HomeImp,80609,1.5
1,117.7951039,8,41.28649195,0,0,Office,4000,26572,0,HomeImp,31960,11
1,85.33333333,9,,1,3,ProfExe,4000,17000,1,HomeImp,52012,22
1,92.13333333,26,,0,0,Other,4000,29562,1,DebtCon,37200,6
1,136.1333333,15,,3,0,Other,4000,41700,0,HomeImp,76725,0.5
1,168.6666667,18,,1,0,Other,4000,58000,0,HomeImp,69440,3.5
1,12.2,17,,0,0,Other,4000,5700,0,DebtCon,18000,
1,162,16,,0,0,Mgr,4000,45000,3,HomeImp,58350,3.5
1,85.8,23,,1,0,Other,4000,7000,2,HomeImp,16020,18
0,279,6,,0,2,Other,4000,66000,1,HomeImp,79050,1.8
0,,0,,0,0,,4000,,0,HomeImp,45760,0
0,109.5666667,15,,0,0,Other,4000,62000,0,HomeImp,78000,4
0,160.3,23,,0,2,Sales,4000,64240,1,HomeImp,63990,5
1,186.6333333,9,,3,1,ProfExe,4000,74000,,HomeImp,93000,2.6
1,146.1,22,,0,2,Other,4000,55000,0,DebtCon,59000,12
0,212.3493039,25,39.12871763,1,,Mgr,4000,67625,0,HomeImp,80698,11
0,227.7929884,25,39.1663287,2,,Mgr,4000,67533,0,HomeImp,71865,10
1,100.7746522,19,33.8409199,0,0,Other,4100,,0,HomeImp,19132,0
1,63.93333333,15,,2,1,Other,4100,58500,2,HomeImp,65000,8
0,165.505037,31,22.27817437,4,0,ProfExe,4100,57992,1,DebtCon,63797,7
0,211.0025991,20,19.02770443,0,0,Office,4200,56544,1,HomeImp,59218,19
1,93.5,5,,0,1,Other,4200,34800,1,HomeImp,50225,2
0,128.8333333,31,,0,0,Sales,4200,67700,0,DebtCon,77000,4
0,75.43333333,16,,1,,,4200,44000,,DebtCon,55085,6
0,110.2786626,15,43.45058791,0,0,Other,4200,66272,0,HomeImp,82953,3
0,209.8713022,19,20.20803267,0,0,Office,4200,50216,0,HomeImp,58541,19
0,129.932869,31,34.18137652,0,0,Sales,4300,71206,0,DebtCon,78698,3
0,105.1207088,14,41.80637615,0,0,Other,4300,68815,0,HomeImp,79852,6
0,263.9703003,5,36.43209394,0,2,Other,4300,72021,0,HomeImp,80027,2
0,162.3900107,30,23.58107924,3,0,ProfExe,4400,53969,0,DebtCon,63869,7
0,,,,,,,4400,,,,60250,
1,89.86105825,17,39.15808483,3,1,Office,4400,53091,0,DebtCon,64074,14
